HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Blackburn,Cardiff,1.00,1.00,1.00,1.00,12.00,6.00,3.00,3.00,6.00,14.00,4.00,5.00,1.00,3.00,0.00,0.00
Brentford,Charlton,1.00,1.00,0.00,0.00,14.00,13.00,4.00,4.00,3.00,13.00,11.00,5.00,1.00,1.00,0.00,0.00
Brighton,Sheffield Weds,0.00,1.00,0.00,1.00,11.00,5.00,3.00,1.00,13.00,13.00,4.00,4.00,3.00,1.00,1.00,0.00
Derby,Rotherham,1.00,0.00,0.00,0.00,10.00,16.00,3.00,6.00,8.00,11.00,8.00,3.00,0.00,1.00,0.00,0.00
Huddersfield,Bournemouth,0.00,4.00,0.00,2.00,16.00,12.00,5.00,7.00,15.00,8.00,7.00,4.00,2.00,1.00,0.00,0.00
Ipswich,Fulham,2.00,1.00,1.00,0.00,14.00,13.00,5.00,3.00,14.00,9.00,5.00,3.00,3.00,0.00,0.00,0.00
Middlesbrough,Birmingham,2.00,0.00,1.00,0.00,20.00,4.00,8.00,0.00,9.00,13.00,11.00,2.00,1.00,1.00,0.00,0.00
Millwall,Leeds,2.00,0.00,1.00,0.00,14.00,9.00,6.00,3.00,8.00,11.00,4.00,5.00,0.00,0.00,0.00,0.00
Nott'm Forest,Blackpool,2.00,0.00,2.00,0.00,15.00,7.00,4.00,1.00,14.00,10.00,7.00,2.00,1.00,2.00,0.00,0.00
Watford,Bolton,3.00,0.00,2.00,0.00,18.00,16.00,5.00,4.00,9.00,18.00,4.00,7.00,0.00,0.00,0.00,0.00
Wigan,Reading,2.00,2.00,1.00,0.00,8.00,11.00,3.00,4.00,17.00,16.00,2.00,5.00,1.00,1.00,0.00,0.00
Wolves,Norwich,1.00,0.00,0.00,0.00,14.00,12.00,3.00,1.00,8.00,10.00,3.00,5.00,0.00,3.00,0.00,1.00
Birmingham,Brighton,1.00,0.00,0.00,0.00,18.00,13.00,5.00,3.00,15.00,15.00,2.00,6.00,0.00,0.00,0.00,0.00
Blackpool,Blackburn,1.00,2.00,0.00,1.00,16.00,11.00,4.00,4.00,15.00,13.00,7.00,5.00,2.00,3.00,0.00,0.00
Bolton,Nott'm Forest,2.00,2.00,2.00,2.00,9.00,20.00,2.00,7.00,14.00,9.00,2.00,10.00,3.00,0.00,0.00,0.00
Bournemouth,Brentford,1.00,0.00,0.00,0.00,16.00,17.00,5.00,4.00,15.00,6.00,13.00,6.00,1.00,3.00,0.00,0.00
Cardiff,Huddersfield,3.00,1.00,2.00,1.00,16.00,21.00,9.00,7.00,13.00,13.00,6.00,9.00,0.00,3.00,0.00,0.00
Charlton,Wigan,2.00,1.00,1.00,1.00,12.00,4.00,5.00,1.00,12.00,11.00,3.00,6.00,0.00,1.00,0.00,0.00
Fulham,Millwall,0.00,1.00,0.00,1.00,24.00,11.00,7.00,6.00,16.00,15.00,11.00,2.00,3.00,0.00,0.00,0.00
Leeds,Middlesbrough,1.00,0.00,0.00,0.00,9.00,11.00,4.00,0.00,7.00,12.00,4.00,4.00,1.00,3.00,0.00,0.00
Norwich,Watford,3.00,0.00,1.00,0.00,30.00,10.00,8.00,3.00,12.00,5.00,11.00,1.00,1.00,1.00,0.00,1.00
Reading,Ipswich,1.00,0.00,1.00,0.00,6.00,15.00,1.00,3.00,15.00,14.00,4.00,6.00,2.00,3.00,0.00,0.00
Rotherham,Wolves,1.00,0.00,0.00,0.00,9.00,12.00,3.00,3.00,15.00,6.00,4.00,9.00,3.00,2.00,0.00,0.00
Sheffield Weds,Derby,0.00,0.00,0.00,0.00,21.00,11.00,7.00,3.00,13.00,10.00,9.00,4.00,3.00,2.00,0.00,0.00
Birmingham,Ipswich,2.00,2.00,1.00,0.00,14.00,20.00,3.00,5.00,10.00,9.00,3.00,5.00,1.00,0.00,0.00,0.00
Blackpool,Brentford,1.00,2.00,1.00,1.00,16.00,8.00,5.00,3.00,17.00,9.00,4.00,5.00,2.00,1.00,0.00,0.00
Bolton,Middlesbrough,1.00,2.00,1.00,1.00,11.00,20.00,2.00,6.00,15.00,8.00,3.00,3.00,2.00,3.00,0.00,0.00
Bournemouth,Nott'm Forest,1.00,2.00,0.00,0.00,17.00,9.00,5.00,3.00,11.00,19.00,17.00,2.00,2.00,2.00,0.00,0.00
Cardiff,Wigan,1.00,0.00,0.00,0.00,10.00,12.00,3.00,1.00,11.00,9.00,6.00,8.00,1.00,0.00,0.00,0.00
Charlton,Derby,3.00,2.00,2.00,1.00,13.00,15.00,7.00,5.00,10.00,13.00,0.00,4.00,2.00,1.00,0.00,0.00
Leeds,Brighton,0.00,2.00,0.00,1.00,5.00,13.00,1.00,3.00,16.00,14.00,2.00,2.00,5.00,1.00,0.00,0.00
Norwich,Blackburn,3.00,1.00,1.00,1.00,17.00,10.00,11.00,4.00,9.00,10.00,13.00,6.00,0.00,3.00,0.00,0.00
Reading,Huddersfield,1.00,2.00,0.00,2.00,16.00,10.00,2.00,4.00,9.00,8.00,5.00,2.00,2.00,2.00,0.00,0.00
Rotherham,Watford,0.00,2.00,0.00,0.00,15.00,9.00,3.00,3.00,11.00,7.00,2.00,2.00,2.00,2.00,0.00,0.00
Sheffield Weds,Millwall,1.00,1.00,0.00,0.00,10.00,14.00,2.00,2.00,15.00,13.00,8.00,5.00,2.00,1.00,0.00,0.00
Fulham,Wolves,0.00,1.00,0.00,1.00,13.00,13.00,1.00,2.00,11.00,13.00,7.00,6.00,4.00,0.00,0.00,0.00
Blackburn,Bournemouth,3.00,2.00,3.00,0.00,12.00,23.00,4.00,7.00,16.00,12.00,3.00,13.00,3.00,1.00,0.00,0.00
Brentford,Birmingham,1.00,1.00,0.00,1.00,7.00,12.00,5.00,5.00,11.00,10.00,8.00,10.00,0.00,0.00,1.00,0.00
Brighton,Bolton,2.00,1.00,1.00,1.00,26.00,9.00,11.00,1.00,11.00,7.00,3.00,4.00,2.00,1.00,0.00,0.00
Derby,Fulham,5.00,1.00,1.00,0.00,18.00,9.00,9.00,4.00,12.00,6.00,4.00,5.00,0.00,0.00,0.00,0.00
Huddersfield,Charlton,1.00,1.00,0.00,0.00,13.00,12.00,7.00,3.00,10.00,6.00,9.00,9.00,3.00,1.00,1.00,0.00
Ipswich,Norwich,0.00,1.00,0.00,1.00,13.00,17.00,2.00,8.00,13.00,16.00,5.00,3.00,2.00,1.00,0.00,0.00
Middlesbrough,Sheffield Weds,2.00,3.00,0.00,2.00,16.00,12.00,5.00,5.00,12.00,12.00,6.00,5.00,3.00,3.00,0.00,0.00
Millwall,Rotherham,0.00,1.00,0.00,0.00,11.00,12.00,1.00,3.00,11.00,16.00,10.00,6.00,1.00,2.00,0.00,0.00
Nott'm Forest,Reading,4.00,0.00,1.00,0.00,16.00,10.00,7.00,2.00,6.00,10.00,6.00,9.00,1.00,1.00,0.00,0.00
Watford,Leeds,4.00,1.00,1.00,1.00,21.00,4.00,6.00,0.00,13.00,15.00,5.00,1.00,2.00,2.00,0.00,2.00
Wigan,Blackpool,1.00,0.00,1.00,0.00,12.00,7.00,2.00,1.00,10.00,17.00,6.00,3.00,2.00,3.00,0.00,0.00
Wolves,Cardiff,1.00,0.00,0.00,0.00,12.00,8.00,2.00,4.00,8.00,8.00,7.00,3.00,2.00,2.00,0.00,0.00
Brighton,Charlton,2.00,2.00,0.00,1.00,20.00,5.00,4.00,2.00,9.00,7.00,12.00,2.00,2.00,1.00,0.00,0.00
Derby,Ipswich,1.00,1.00,1.00,0.00,12.00,10.00,5.00,5.00,15.00,8.00,7.00,11.00,1.00,3.00,0.00,0.00
Fulham,Cardiff,1.00,1.00,1.00,0.00,18.00,9.00,3.00,2.00,10.00,12.00,9.00,5.00,1.00,1.00,0.00,0.00
Leeds,Bolton,1.00,0.00,1.00,0.00,8.00,22.00,2.00,8.00,12.00,11.00,5.00,8.00,2.00,0.00,0.00,0.00
Middlesbrough,Reading,0.00,1.00,0.00,1.00,24.00,5.00,6.00,2.00,17.00,14.00,14.00,4.00,2.00,1.00,0.00,0.00
Millwall,Blackpool,2.00,1.00,1.00,0.00,17.00,12.00,4.00,4.00,19.00,21.00,5.00,2.00,3.00,3.00,0.00,0.00
Norwich,Bournemouth,1.00,1.00,1.00,1.00,13.00,8.00,5.00,3.00,11.00,13.00,6.00,4.00,4.00,1.00,0.00,0.00
Rotherham,Brentford,0.00,2.00,0.00,1.00,14.00,13.00,5.00,4.00,13.00,7.00,7.00,4.00,0.00,1.00,0.00,0.00
Sheffield Weds,Nott'm Forest,0.00,1.00,0.00,1.00,15.00,9.00,7.00,5.00,12.00,9.00,5.00,1.00,4.00,3.00,0.00,0.00
Watford,Huddersfield,4.00,2.00,1.00,0.00,15.00,27.00,7.00,10.00,10.00,6.00,3.00,9.00,2.00,5.00,1.00,0.00
Wigan,Birmingham,4.00,0.00,3.00,0.00,17.00,11.00,7.00,4.00,4.00,14.00,7.00,2.00,1.00,2.00,0.00,0.00
Wolves,Blackburn,3.00,1.00,2.00,0.00,15.00,18.00,7.00,6.00,16.00,9.00,2.00,6.00,2.00,5.00,0.00,0.00
Birmingham,Leeds,1.00,1.00,1.00,0.00,16.00,12.00,4.00,3.00,11.00,12.00,2.00,7.00,2.00,0.00,0.00,0.00
Blackburn,Wigan,3.00,1.00,0.00,0.00,15.00,13.00,8.00,2.00,14.00,15.00,9.00,5.00,1.00,2.00,0.00,0.00
Blackpool,Wolves,0.00,0.00,0.00,0.00,12.00,15.00,1.00,2.00,13.00,8.00,3.00,11.00,0.00,0.00,0.00,0.00
Bolton,Sheffield Weds,0.00,0.00,0.00,0.00,6.00,24.00,1.00,4.00,16.00,12.00,5.00,6.00,2.00,0.00,0.00,0.00
Bournemouth,Rotherham,1.00,1.00,0.00,0.00,12.00,10.00,3.00,1.00,8.00,15.00,3.00,4.00,1.00,2.00,0.00,0.00
Brentford,Brighton,3.00,2.00,2.00,1.00,13.00,10.00,5.00,3.00,4.00,13.00,5.00,4.00,1.00,2.00,0.00,0.00
Cardiff,Norwich,2.00,4.00,2.00,0.00,11.00,25.00,5.00,6.00,4.00,11.00,2.00,6.00,1.00,2.00,0.00,0.00
Charlton,Watford,1.00,0.00,1.00,0.00,4.00,14.00,1.00,4.00,9.00,7.00,2.00,8.00,3.00,4.00,0.00,0.00
Huddersfield,Middlesbrough,1.00,2.00,0.00,1.00,12.00,17.00,4.00,4.00,10.00,15.00,3.00,11.00,2.00,2.00,0.00,0.00
Ipswich,Millwall,2.00,0.00,1.00,0.00,16.00,17.00,4.00,6.00,13.00,9.00,8.00,6.00,1.00,0.00,0.00,0.00
Reading,Fulham,3.00,0.00,1.00,0.00,17.00,6.00,7.00,1.00,18.00,9.00,5.00,3.00,1.00,3.00,0.00,1.00
Nott'm Forest,Derby,1.00,1.00,0.00,0.00,16.00,13.00,3.00,5.00,11.00,17.00,5.00,6.00,3.00,1.00,0.00,1.00
Birmingham,Sheffield Weds,0.00,2.00,0.00,0.00,15.00,15.00,1.00,4.00,12.00,13.00,5.00,6.00,2.00,1.00,0.00,0.00
Blackpool,Watford,0.00,1.00,0.00,0.00,15.00,14.00,4.00,7.00,9.00,13.00,5.00,10.00,2.00,1.00,0.00,0.00
Bolton,Rotherham,3.00,2.00,0.00,1.00,20.00,14.00,9.00,6.00,9.00,7.00,7.00,4.00,1.00,1.00,0.00,0.00
Bournemouth,Leeds,1.00,3.00,1.00,0.00,19.00,11.00,7.00,5.00,15.00,9.00,8.00,2.00,1.00,1.00,0.00,0.00
Brentford,Norwich,0.00,3.00,0.00,0.00,18.00,11.00,6.00,4.00,7.00,12.00,7.00,3.00,2.00,2.00,0.00,0.00
Cardiff,Middlesbrough,0.00,1.00,0.00,1.00,13.00,12.00,1.00,2.00,12.00,14.00,6.00,6.00,1.00,2.00,0.00,0.00
Charlton,Wolves,1.00,1.00,1.00,0.00,11.00,19.00,2.00,5.00,11.00,5.00,1.00,11.00,1.00,0.00,0.00,0.00
Huddersfield,Wigan,0.00,0.00,0.00,0.00,9.00,15.00,3.00,4.00,11.00,11.00,4.00,4.00,1.00,2.00,0.00,0.00
Ipswich,Brighton,2.00,0.00,0.00,0.00,16.00,17.00,6.00,5.00,9.00,8.00,4.00,7.00,3.00,3.00,0.00,0.00
Reading,Millwall,3.00,2.00,2.00,1.00,9.00,18.00,3.00,9.00,8.00,14.00,3.00,7.00,0.00,2.00,0.00,0.00
Blackburn,Derby,2.00,3.00,1.00,2.00,20.00,15.00,9.00,7.00,14.00,7.00,11.00,3.00,0.00,2.00,0.00,0.00
Nott'm Forest,Fulham,5.00,3.00,2.00,1.00,14.00,14.00,5.00,8.00,12.00,11.00,1.00,7.00,2.00,6.00,0.00,0.00
Brighton,Blackpool,0.00,0.00,0.00,0.00,25.00,7.00,6.00,2.00,14.00,20.00,15.00,2.00,3.00,5.00,0.00,0.00
Derby,Cardiff,2.00,2.00,0.00,0.00,18.00,10.00,5.00,3.00,5.00,10.00,7.00,3.00,0.00,2.00,0.00,0.00
Fulham,Blackburn,0.00,1.00,0.00,0.00,7.00,12.00,2.00,5.00,16.00,14.00,2.00,7.00,3.00,2.00,1.00,0.00
Leeds,Huddersfield,3.00,0.00,2.00,0.00,8.00,14.00,5.00,0.00,12.00,8.00,4.00,3.00,2.00,1.00,1.00,0.00
Middlesbrough,Brentford,4.00,0.00,1.00,0.00,22.00,6.00,9.00,2.00,11.00,12.00,5.00,2.00,2.00,1.00,1.00,0.00
Millwall,Nott'm Forest,0.00,0.00,0.00,0.00,15.00,7.00,4.00,2.00,15.00,16.00,6.00,3.00,2.00,3.00,0.00,0.00
Norwich,Birmingham,2.00,2.00,0.00,2.00,28.00,15.00,4.00,4.00,7.00,5.00,10.00,1.00,3.00,1.00,0.00,0.00
Rotherham,Charlton,1.00,1.00,0.00,1.00,23.00,13.00,6.00,4.00,11.00,4.00,7.00,5.00,2.00,2.00,0.00,0.00
Sheffield Weds,Reading,1.00,0.00,0.00,0.00,16.00,11.00,2.00,3.00,16.00,10.00,6.00,12.00,3.00,3.00,0.00,0.00
Watford,Bournemouth,1.00,1.00,0.00,0.00,12.00,12.00,3.00,5.00,5.00,15.00,6.00,2.00,2.00,5.00,0.00,0.00
Wolves,Bolton,1.00,0.00,1.00,0.00,15.00,11.00,6.00,5.00,5.00,11.00,9.00,7.00,1.00,1.00,0.00,0.00
Wigan,Ipswich,1.00,2.00,0.00,1.00,20.00,8.00,3.00,5.00,14.00,9.00,13.00,3.00,0.00,2.00,0.00,0.00
Birmingham,Fulham,1.00,2.00,1.00,0.00,9.00,13.00,3.00,8.00,14.00,9.00,7.00,6.00,1.00,1.00,0.00,0.00
Blackburn,Watford,2.00,2.00,0.00,2.00,30.00,13.00,9.00,5.00,10.00,10.00,6.00,7.00,1.00,3.00,0.00,0.00
Blackpool,Norwich,1.00,3.00,0.00,0.00,10.00,15.00,6.00,6.00,9.00,9.00,4.00,7.00,2.00,2.00,0.00,0.00
Bolton,Derby,0.00,2.00,0.00,1.00,9.00,16.00,2.00,7.00,15.00,13.00,7.00,7.00,2.00,1.00,0.00,0.00
Bournemouth,Wigan,2.00,0.00,1.00,0.00,17.00,11.00,6.00,2.00,11.00,12.00,8.00,2.00,2.00,1.00,0.00,0.00
Brentford,Leeds,2.00,0.00,1.00,0.00,24.00,13.00,10.00,3.00,10.00,9.00,8.00,3.00,0.00,1.00,0.00,0.00
Cardiff,Sheffield Weds,2.00,1.00,1.00,0.00,14.00,10.00,4.00,1.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00
Charlton,Middlesbrough,0.00,0.00,0.00,0.00,5.00,9.00,1.00,1.00,11.00,9.00,5.00,6.00,2.00,0.00,0.00,1.00
Huddersfield,Millwall,2.00,1.00,1.00,1.00,11.00,8.00,3.00,2.00,13.00,18.00,5.00,3.00,2.00,5.00,0.00,0.00
Ipswich,Rotherham,2.00,0.00,2.00,0.00,15.00,24.00,6.00,5.00,18.00,6.00,7.00,5.00,0.00,2.00,0.00,0.00
Nott'm Forest,Brighton,0.00,0.00,0.00,0.00,14.00,12.00,1.00,2.00,14.00,12.00,6.00,6.00,2.00,3.00,0.00,0.00
Reading,Wolves,3.00,3.00,1.00,0.00,13.00,10.00,5.00,3.00,14.00,14.00,2.00,5.00,2.00,2.00,0.00,0.00
Brighton,Cardiff,1.00,1.00,1.00,1.00,26.00,9.00,8.00,3.00,7.00,9.00,12.00,3.00,3.00,3.00,0.00,0.00
Derby,Bournemouth,2.00,0.00,0.00,0.00,19.00,5.00,5.00,2.00,9.00,10.00,7.00,3.00,0.00,1.00,0.00,1.00
Middlesbrough,Blackpool,1.00,1.00,1.00,1.00,19.00,10.00,5.00,4.00,13.00,11.00,6.00,3.00,2.00,2.00,0.00,0.00
Millwall,Birmingham,1.00,3.00,0.00,2.00,22.00,16.00,7.00,6.00,20.00,10.00,5.00,2.00,1.00,3.00,0.00,0.00
Norwich,Charlton,0.00,1.00,0.00,0.00,15.00,4.00,4.00,2.00,8.00,7.00,9.00,1.00,0.00,3.00,0.00,0.00
Rotherham,Blackburn,2.00,0.00,2.00,0.00,17.00,17.00,4.00,4.00,9.00,10.00,8.00,8.00,1.00,3.00,0.00,0.00
Sheffield Weds,Ipswich,1.00,1.00,1.00,0.00,9.00,13.00,3.00,4.00,12.00,11.00,5.00,3.00,2.00,0.00,0.00,0.00
Watford,Brentford,2.00,1.00,1.00,0.00,18.00,9.00,6.00,5.00,14.00,8.00,8.00,3.00,3.00,2.00,1.00,0.00
Wigan,Nott'm Forest,0.00,0.00,0.00,0.00,13.00,9.00,2.00,2.00,19.00,19.00,6.00,5.00,1.00,3.00,0.00,0.00
Fulham,Bolton,4.00,0.00,2.00,0.00,16.00,8.00,7.00,0.00,8.00,8.00,6.00,8.00,0.00,2.00,0.00,0.00
